question_name,url_id
"1. 졸업요건이 서양 동양 동서양 과학 각각 4 2 3 1권씩이고
2. 동고강1 동고강2 이런건 몇권씩 인정해주는거야?? 서고강4가 서양3과학1 이런식으로 서고강2랑 인증 책이 다르던데..
3. 그리고 학사정보시스템에서 강의시간표/수업계획서조회에서 교과목명에 고전강독이라고만 검색하면 다 안나오는거같아.. 어떻게 하면 전부 다 나오는거야??

나름 찾아봤는데 잘 모르겠어서 찾을 수 있는 방법까지만이라도 알려주면 너무 고마울거같아 ㅠㅠ",/202307278
학적과에 전화하면 될까요? 어디다 전화해야 할지 모르겠음 ㅠㅠ,/202231658
"베스트게시판 가보면 졸업요건 사이트있다.
검사해보고 뭐들어야될지 판단 ㄱ",/202111229
"쓰잘데기없고 이렇게 공부해봤자
좋게 보이지도 않고 사회에 나가서
아무 필요없는 걸 졸업요건으로 나가는 게 어이가 없음
토익같은 거는 도움이라도 되는데
다른 학교는 이딴 거 애당초 있지도 않음
총장이란 사람은 골프공사는데 빠져있고
발전이 없고 학생한테 도움도 안주는 학교
정말 주옥같구나",/201964279
"중국어 검정? 0학점짜리 그거 중통과 졸업요건상 그거 신청하고 hsk점수 제출해야는데
그거만 따로 신청하는데도 등록금 내야하네
따로 수업하는 것도 어니고 그렇다고 싸강도 어니야 담당교수 면담 매주하는 것도 아닌데 그거만 듣는다고 등록금 깨지는거 ㅈ같네",/201851602
"졸업요건 충족됐으면 그냥 졸업식 공지 나올때까지 기다리면 돼?
졸업신청같은거는 따로 없지?
찾아봐도 안나오네",/201290517
"안녕하세요 이번에 졸업하는 소융대 학생입니다.

졸업하기 전에 지난 2월에 개발했었던 졸업요건 검사 사이트를 좀더 손봤는데, 이제 세종대 모든 학과의 검사를 지원합니다!

15~21 학번까지 검사가 가능하고, 회원가입 후 기이수성적 엑셀파일만 업로드하면 자동으로 졸업요건을 검사해줍니다.
검사 후엔 자신이 부족한 강의와 다른 사용자들이 많이 듣는 강의를 추천합니다.

수강편람을 싹다 참고해서 만들었기 때문에 각자 학과-학번에 맞는 졸업기준을 적용해서 검사합니다.

수강편람을 잘 모르는 학생도 있을 수 있으니 관심과목 담기 전 검사해보고 미리 수강계획을 세워보세요!!!!!

사이트 링크 : https://please-graduate.com/
깃허브 링크 : https://github.com/hanjo8813/PleaseGraduate

* 학교에서 공식적으로 만든게 아니라서 검사 기준에 오류가 있을 수 있습니다! 오류발생시 피드백해주세용

+ 음악과/무용과 학생인증 안될땐 쪽지 주세요!

아래는 간단한 사용법입니다~",/201184609
홈페이지에 그렇게 써져 있던데,/201080704
1~2학년때 모의토익 대충 6백대였던거같은데 준비기간 얼마정도 잡으면 적당함?,/200530244
"1. 학점
2. 교필, 전필 수강
3. 영어졸업 인증(토익만 해도 되는 거죠?)
4. 고전독서인증
5.졸업논문?
이거 외에도 또 있나요??
아니면 정리된 글 같은 거 어디서 찾는지 알려주세요ㅠ😢",/200360494
"1. 막학기에 영어 졸업요건 못 맞춘사람
2. 4학년때 세사봉 하는 사람
3. 고전특강 듣는 사람

두 개 해당되네",/199908034
"모의토익 400 중반 나왔는데
졸업요건 채우려고ㅠ
인강 추천 해주라",/197918502
지금 1학년인데 따놓으면 졸업요건 충족되나요? 유효기간 2년인데,/197866796
