question_name
오늘 주말이고 연휴인데 진관학식 하나요
비대면이라 학교 안 가는건 좋은데
학식 몇시까진가요?
내일먹을 학식추천좀
육빔
울학교 근처 걸어갈 수 있는 맛집 추천해줄 선배종이들 구함
학식 메뉴판 최신버전!
대학학식순위
학생회관 학식 시간
비 오는 날 학식추천ㄱㄱ
학식 순찌 왜이럼
학관 학식
학식 열린곳
예전 학식
주말에도 가면 학식 먹을 수 있어요?
주말에도 학식
학생회관 학식 방학때처럼 메뉴 축소해서 운영하나요?
학식 먹고싶다
요즘 학식 먹을수 있어?
학식 김치말이 국수
학식 오므라이스
학식 브레이크 타임 엊ㅅ어???
진관이랑 학관 학식
비대면이라 제일 슬픈 건
저녁 뭐먹지
학식
학식
학식 지금먹을수잇능곳 잇나요
학식 소금구이 나와요?
학식 순찌 아직있죠?
힝 막학기라니 ㅠㅠ
학식 포장돼요?
학식
학관 학식
세종대 학식은 어디서먹는거임?
학식 열어????
학식 있잖아
학식
학식
내일 오랜만에 학식 먹을까하는데
그리워 학식..
학식
8월 학식하나요??
학관학식 제주몰빵
학식
여자도 여초회사 피한다는 글 봤는데 왜임?
학생회관 학식 몇시까지해?
전역하고 첫 학식 먹으러 왓는데
혹시 학식 카카오페이 되냐..?.
학관 학식하나욤
학식 시간 + 추천 메뉴
방학때 진관이랑 학관 학식
내일 학식여나요
세종대학교 학식
학식 새우튀김알밥 어디서 파는지 알려주세요
학식 열어용?
방학때 진관홀 학식 하나요??
학식 몇시까지 하나요?
학식 BEST메뉴 추천좀요
학생회관 학식 앞 흡연장
여름방학 학식
종강하고도 학식여나?
학식
저 시험 오늘 마지막으로 다 끝났는데 방학식 언제해요??
학식 오픈시간좀 알랴주삼
학관 학식
지금 학식
학식
2학기에 3년만에 복학하는데 학관 학식 그대로임??
학교 식당 ㅠㅠ
진관학식
학생회관 학식
지금 학식열어옹?
학생회관 학식 브레이크타임 언제부터야?
네이버에 학식 치면 울학교 젤 먼저 뜨네 ㄷㄷ
압학한지 반년 학식 아직 안먹어봄
학정원 학식 하나요?
학식 먹으러간당
요즘 학식 대부분 운영중인가요?
오늘 학생회관 학식 몇시까지해요??
요즘 학식 운영하나??
오늘도 학식해??
앗쌰 나 내알 친구데리고 학교갈건데 학식 처음먹어봐
학관 학식!!!!
군자관 학식
일욜 학식
지금 학식 ㄱㄴ?
내일 학식
원래 학식 식당이
왜이리 음식 사진이 많이 올라오냐
내일 학식 하나여??
우리학교 학식 라면 뭐끓여주나요?
학식
학식 열어?
요즘 학식함?
학식 몇시부터 먹을수있어?
혹시 학생회관 학식 분실물 보관하는 곳 잇어?
학식
학관학식
급식먹는 학식
진관 학식 여냐
학관 학식
오늘
방학때 종강하고
오늘
학식
어린이날인데
내일 학식할까?
오늘 학식하나요??
오늘 학관 학식 해??
학교 주변에 끼니 해결할만한 곳 있나요?
학식에 사이드메뉴 추가해줬음 좋겠다
학식
학식
선배님들
학생회관 학식
학식 어디 열리는지 알려줄 종이😢
학생회관 학식
학관 학식 브레이크타임 몇시죵?
일물화 시험
학식당
학식
학식
학식
학식
일화실1 수강 하셨던 선배릠덜..
코딩
농협 하늘색 체크카드보신분..ㅠㅠ
오늘 학식 몇시까지 해요??
학식 맛있는 메뉴좀 적어주세요
학식
토욜에 학관학식 열어?
책읽고싶은데..
학식
학식
주말 학식
내일 학식 먹을수있나용?
8층 중에 기숙사카드 잃어버린 사람?
학식 몇시까지해?-?
일화실 4주차 과제 질문점
🕵🏻‍♂️세종대의 낙후된 오래된 맛집을 찾습니다!!🕵🏻
학식
학생회관 학식
인생 첫 학식 후기
학식먹는당 이따가
금요일에
학식
학식먹고 싶어
소금구이덮밥 학식이 다른학교에도 있어?
학생회관 학관 학식 메뉴&영업시간 ver 2.0
학식
학생회관 학식 메뉴 줄었음???
학식
학식
군자관이랑 진관홀 학식
학식추천해주세요!!!
학식 찌개 시키면 찌개만 나와 밥도 같이나와?
목요일에
학교 학식 추천좀!!
지금 열려 있는 학식 어디 있어?
학식
오늘 나 학식 처음 도전해보려궁..
학식 메뉴에 오므라이스 영영 안돌아올까
다들 학식 머가 맛나
학식 몇시 에 여는지 아는 사람
수업이 전부 온라인이라 슬프다
학생회관 학식
학식
학식당
학식 추천좀
긱사 사는 친구 선물
아 나만 친구없어 헐..이건 큰일임
학식
낼
내일 학식 먹으려는데
...
학식
학식 추천 해주데요
새내기 기숙사 2일차 학식 질문
학식궁금해요
점심 추천좀 ㅎ
학생회관 학식 휴식시간
학식 메뉴 좀 추천 해줘!!
학관 학식
학식 혼밥
20학번 사람만나본적없음 학교가본적없음
학식 추천
학식 몇시까지 하노?
진관
진관홀 학식
